Epoch,Train Loss,prediction,Recall,Accurancy,mAP50,mAP75
1,0.39005028234027767,0.3602302663674505,0.9155610663360199,0.3486472449124132,tensor(0.0821),tensor(0.0716)
2,0.14544291049652897,0.4388772767990445,0.924751478545363,0.42374445021045953,tensor(0.3162),tensor(0.2911)
3,0.08835599639809087,0.5337208435799985,0.9032664900996342,0.5048639503736078,tensor(0.3779),tensor(0.3498)
4,0.06954085630200366,0.6193784277879342,0.8638449770525243,0.564290473017988,tensor(0.3945),tensor(0.3810)
5,0.06045040856663357,0.6568580001935921,0.8705580500320719,0.5984126984126984,tensor(0.4042),tensor(0.3757)
6,0.054722667137599164,0.6570368141237837,0.8437459744943965,0.5857628331246646,tensor(0.4069),tensor(0.3882)
7,0.05112578642746324,0.6349788434414668,0.8666581108829569,0.5784649648792187,tensor(0.4060),tensor(0.3965)
8,0.04919946685241645,0.6456386292834891,0.8537590113285273,0.5813464235624124,tensor(0.4083),tensor(0.3983)
